,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
176,218,Ecuador,490,"Other Asia, nes",Export,3708752,1114521,1114521.0
177,218,Ecuador,604,Peru,Export,61958199,28810470,28810470.0
178,218,Ecuador,724,Spain,Export,2658150,636701,636701.0
179,222,El Salvador,0,World,Import,9601,1960,1960.0
180,222,El Salvador,484,Mexico,Import,494,3,3.0
181,222,El Salvador,842,USA,Import,9107,1957,1957.0
182,233,Estonia,0,World,Import,2,100,100.0
183,233,Estonia,232,Eritrea,Import,2,100,100.0
184,97,EU,0,World,Import,9825582288,4004615442,4004615442.0
185,97,EU,0,World,Export,1430882288,998721686,998721686.0
186,97,EU,8,Albania,Import,9417936,6003116,6003116.0
187,97,EU,12,Algeria,Export,7326,1000,1000.0
188,97,EU,31,Azerbaijan,Import,166,15,15.0
189,97,EU,36,Australia,Import,578187673,170962738,170962738.0
190,97,EU,36,Australia,Export,577,490,490.0
191,97,EU,51,Armenia,Import,69270108,30079517,30079517.0
192,97,EU,72,Botswana,Import,1375,15,15.0
193,97,EU,76,Brazil,Import,2227004822,737215291,737215291.0
194,97,EU,76,Brazil,Export,2148,85255,85255.0
195,97,EU,108,Burundi,Import,88,1,1.0
196,97,EU,124,Canada,Import,654721637,194504410,194504410.0
197,97,EU,124,Canada,Export,879870,73891,73891.0
198,97,EU,152,Chile,Import,1735849071,764978199,764978199.0
199,97,EU,156,China,Import,25216744,10768186,10768186.0
200,97,EU,156,China,Export,1105070165,847191200,847191200.0
201,97,EU,178,Congo,Import,55724,6955,6955.0
202,97,EU,180,Dem. Rep. of the Congo,Import,1258,17,17.0
203,97,EU,218,Ecuador,Import,2557769,639900,639900.0
204,97,EU,231,Ethiopia,Import,94,2,2.0
205,97,EU,268,Georgia,Import,405288245,174211048,174211048.0
206,97,EU,288,Ghana,Import,197,91,91.0
207,97,EU,320,Guatemala,Import,286,5,5.0
208,97,EU,360,Indonesia,Import,595806063,231173035,231173035.0
209,97,EU,376,Israel,Import,7177,3429,3429.0
210,97,EU,376,Israel,Export,599,4,4.0
211,97,EU,392,Japan,Import,1695,68,68.0
212,97,EU,392,Japan,Export,19772389,3805515,3805515.0
213,97,EU,398,Kazakhstan,Import,2508375,1294630,1294630.0
214,97,EU,410,Rep. of Korea,Import,22281,850,850.0
215,97,EU,410,Rep. of Korea,Export,15740382,3737451,3737451.0
216,97,EU,450,Madagascar,Import,82,1,1.0
217,97,EU,458,Malaysia,Import,2344,54,54.0
