Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,0,M,764,Thailand,THA,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,105009,-1,N/A,0,105009,0,27302,27302.58,,6
H5,2019,2019,2019,6,1,0,RX,784,United Arab Emirates,ARE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,1877305,8,kg,1877305,1877305,0,125456,0,125456.784,0
H5,2019,2019,2019,6,1,0,X,784,United Arab Emirates,ARE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,2204305,8,kg,2204305,2204305,0,1876386,0,1876386.267,0
H5,2019,2019,2019,6,1,0,DX,784,United Arab Emirates,ARE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,327000,8,kg,327000,327000,0,1750929,0,1750929.484,0
H5,2019,2019,2019,6,1,0,M,784,United Arab Emirates,ARE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,54151,8,kg,54151.51,54151,0,50930,50930.95,0,0
H5,2019,2019,2019,6,1,0,M,788,Tunisia,TUN,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,1700,8,kg,1700,1700,0,8973,8973.351,,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,187941628,8,kg,187941628,187941628,0,174832575,,174832575,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,187941628,8,kg,187941628,187941628,0,174832575,,174832575,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,187941628,8,kg,187941628,187941628,0,174832575,,174832575,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,187941628,8,kg,187941628,187941628,0,174832575,,174832575,0
H5,2019,2019,2019,6,1,0,X,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,187940902,8,kg,187940902,187940902,0,174832073,,174832073,0
H5,2019,2019,2019,6,1,0,DX,792,Turkey,TUR,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,187940902,8,kg,187940902,187940902,0,174832073,,174832073,0
