Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,56,Belgium,BEL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,500,,,,500,,3302,,,0
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1,,,,1,,6,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,19100,,,,19100,,85539,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,376,Israel,ISR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,73,,,,73,,981,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,3962662,,,,3962662,,10715269,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,410,Rep. of Korea,KOR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1170142,,,,1170142,,3974613,,,0
H5,2019,2019,2019,6,1,2,Export,251,France,FRA,528,Netherlands,NLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,23,,,,23,,58,,,0
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,710,South Africa,ZAF,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,33,,,,33,,53,,,6
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,757,Switzerland,CHE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,180,,,,180,,289,,,6
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,842,USA,USA,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,24877,,,6
H5,2019,2019,2019,6,1,1,Import,251,France,FRA,899,"Areas, nes",,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,1537,,,6
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1020012038,,,,1020012038,,1919801760,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,52862775,,,,52862775,,26931710,,,6
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,32,Argentina,ARG,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,41,,,,41,,21,,,6
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,36,Australia,AUS,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,42966803,,,,42966803,,182826168,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,51,Armenia,ARM,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,108,,,,108,,895,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,56,Belgium,BEL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,61393,,,,61393,,631038,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,76,Brazil,BRA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,240001125,,,,240001125,,510874350,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,124,Canada,CAN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,86120429,,,,86120429,,174224369,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,124,Canada,CAN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,71055,,,,71055,,711053,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,152,Chile,CHL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,177044869,,,,177044869,,299629502,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,152,Chile,CHL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,5112,,,,5112,,391,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,6000,,,,6000,,28550,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,6638990,,,,6638990,,7449316,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,180,Dem. Rep. of the Congo,COD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1354,,,,1354,,2487,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,246,Finland,FIN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,11550780,,,,11550780,,17811256,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,251,France,FRA,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,60,,,,60,,3727,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,360,Indonesia,IDN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,22000026,,,,22000026,,46306085,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,100,,,,100,,55,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,26,,,,26,,423,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,484,Mexico,MEX,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,42697061,,,,42697061,,54625864,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,504,Morocco,MAR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,20208274,,,,20208274,,17722507,,,0
H5,2019,2019,2019,6,1,2,Export,276,Germany,DEU,504,Morocco,MAR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,2160,,,,2160,,279,,,0
H5,2019,2019,2019,6,1,1,Import,276,Germany,DEU,591,Panama,PAN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,47168493,,,,47168493,,55027355,,,0
